work_order_id,asset_id,asset_type,maintenance_type,work_order_status,start_datetime,end_datetime,work_order_description
WO-100000,HX-401,Heat Exchanger,Corrective Repair,Completed,2019-01-01 07:00,2019-01-01 15:00,"Corrected fault discovered during operation. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100001,TR-701,Transformer,Corrective Repair,Completed,2019-01-06 10:00,2019-01-07 02:00,"Repaired identified defect and returned unit to service. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100002,CT-601,Cooling Tower,Cleaning,Completed,2019-01-11 09:00,2019-01-11 17:00,Mechanical cleaning performed; heavy deposits removed from surfaces. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100003,HX-402,Heat Exchanger,Inspection,Completed,2019-01-16 09:00,2019-01-16 13:00,Inspected internals and verified clearances against OEM specifications. Severe degradation observed with clear impact to performance. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100004,ST-201,Steam Turbine,Inspection,Completed,2019-01-21 07:00,2019-01-21 11:00,"Performed visual and borescope inspection of critical components. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100005,GEN-301,Generator,Inspection,Completed,2019-01-26 06:00,2019-01-26 10:00,"Inspected internals and verified clearances against OEM specifications. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100006,CT-601,Cooling Tower,Seal Replacement,Completed,2019-01-31 11:00,2019-02-01 11:00,"Maintenance activity completed as planned. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100007,CT-601,Cooling Tower,Inspection,Completed,2019-02-05 09:00,2019-02-05 13:00,"Inspected internals and verified clearances against OEM specifications. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100008,GT-102,Gas Turbine,Overhaul,Completed,2019-02-10 09:00,2019-02-10 13:00,Executed scheduled outage overhaul per maintenance strategy. Abnormal vibration and temperature excursions noted prior to shutdown. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100009,HX-402,Heat Exchanger,Corrective Repair,Completed,2019-02-15 09:00,2019-02-15 13:00,Corrected fault discovered during operation. Slight vibration noted but below alarm thresholds. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100010,HX-402,Heat Exchanger,Seal Replacement,Completed,2019-02-20 06:00,2019-02-20 14:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100011,GEN-301,Generator,Bearing Replacement,Completed,2019-02-25 11:00,2019-02-26 11:00,Maintenance activity completed as planned. Moderate degradation observed with noticeable efficiency loss. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100012,GEN-301,Generator,Inspection,Completed,2019-03-02 08:00,2019-03-02 10:00,Performed visual and borescope inspection of critical components. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100013,CT-601,Cooling Tower,Calibration,Completed,2019-03-07 10:00,2019-03-07 18:00,"Maintenance activity completed as planned. Light fouling present, performance within acceptable limits. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
WO-100014,TR-701,Transformer,Bearing Replacement,Completed,2019-03-12 11:00,2019-03-12 13:00,Maintenance activity completed as planned. Thermal efficiency reduced; monitoring recommended. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service.
WO-100015,CT-601,Cooling Tower,Corrective Repair,Completed,2019-03-17 10:00,2019-03-18 10:00,"Corrected fault discovered during operation. Minor wear observed, no immediate operational impact. Operator noted condition during routine rounds and confirmed with trend data. Post-maintenance checks completed and unit returned to service."
