WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
1,null,null,null,51.016138,-113.270526,null,3,NE,24,24,4,null,null,approx. 1/2 mile south of barn on south fence line,NE-03-024-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
2,null,null,null,51.039117,-113.242148,null,14,SE,24,24,4,null,null,in quonset on north side of big door,SE-14-024-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3,null,null,null,51.38762,-113.123935,null,14,SE,28,23,4,null,null,approx. 175 feet northwest of house,SE-14-028-23-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
4,null,null,null,51.165574,-112.870591,null,28,NE,25,21,4,null,null,null,NE-28-025-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
5,null,null,null,51.400417,-112.950217,null,18,NW,28,21,4,null,null,approx. 250 feet south of house,NW-18-028-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
6,null,291527,null,51.034039,-113.309358,null,8,NE,24,24,4,1998,null,in northeast corner of garage,NE-08-024-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
7,null,291528,null,51.032981,-113.309191,null,8,NE,24,24,4,1998,null,in pumphouse approx. 30 feet north of house,NE-08-024-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
9,null,136149,null,52.041116,-113.457584,1,35,SE,35,25,4,null,null,null,1-35-035-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
10,null,136150,null,52.044729,-113.463069,1,35,SE,35,25,4,null,null,null,1-35-035-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
11,null,233098,null,53.076538,-112.607832,4,29,SW,47,18,4,null,null,null,4-29-047-18-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
13,null,233489,null,52.984901,-110.844424,14,20,NW,46,6,4,null,null,null,14-20-046-06-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
14,null,143247,null,52.88495,-112.47361,16,13,NE,45,18,4,null,null,null,16-13-045-18-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
15,null,138518,null,53.105854,-112.637849,1,1,SE,48,19,4,null,null,null,1-01-048-19-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
16,null,235382,null,51.681786,-113.093577,5,29,SW,31,22,4,null,null,null,5-29-031-22-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
17,null,235756,null,52.532262,-110.814717,13,16,NW,41,6,4,null,null,null,13-16-041-06-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
18,null,null,null,53.0099,-113.575849,6,33,SW,46,25,4,null,null,null,6-33-046-25-W4,null,metres,2011-10-20T10:38:47.000Z,CONVERSION
19,null,237016,null,53.072312,-113.49477,10,19,NE,47,24,4,null,null,null,10-19-047-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
20,null,237017,null,53.072312,-113.49477,10,19,NE,47,24,4,null,null,null,10-19-047-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
21,null,237088,null,53.072371,-113.458182,12,21,NW,47,24,4,null,null,null,12-21-047-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
22,null,237096,null,53.072371,-113.458182,12,21,NW,47,24,4,null,null,null,12-21-047-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
23,null,237425,null,53.092338,-113.516104,1,36,SE,47,25,4,null,null,null,1-36-047-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
