Other_Seal_ID,Well_Report_ID,Other_Seal_Type,From,To,At
987,11614587,Bentonite Chips/Tabl,20,138,138
988,11567671,Bentonite Chips/Tabl,15,85,85
989,11562736,Bentonite Chips/Tabl,120,143,143
990,11567604,Bentonite Chips/Tabl,15,90,90
993,11567564,Bentonite Chips/Tabl,15,130,130
995,11578948,Bentonite Chips/Tabl,35,50,50
996,11665659,Bentonite Chips/Tabl,120,140,140
997,11427928,Bentonite Chips/Tabl,112,122,122
998,11650624,Bentonite Chips/Tabl,18,98,98
999,11608001,Bentonite Chips/Tabl,13,15,15
1001,11631289,Bentonite Chips/Tabl,305.12,328.08,328.08
1002,11607914,Bentonite Chips/Tabl,15,18,18
1003,11607941,Bentonite Chips/Tabl,17,19,19
1004,11608106,Bentonite Chips/Tabl,45,49,49
1005,11534623,Bentonite Chips/Tabl,12,15,15
1006,11534650,Bentonite Chips/Tabl,15,18,18
1007,11496300,Bentonite Chips/Tabl,30,50,50
1008,11329764,Bentonite Chips/Tabl,70,75,75
1009,11378818,Bentonite Chips/Tabl,85,90,90
1010,11487818,Bentonite Chips/Tabl,60,88,88
1011,11534682,Bentonite Chips/Tabl,13,15,15
1012,11534718,Bentonite Chips/Tabl,8,15,15
1013,11523550,Bentonite Chips/Tabl,17,54,54
1014,11368098,Bentonite Chips/Tabl,42,85,85
1015,11263317,Bentonite Chips/Tabl,20,22,22
1016,11454719,Bentonite Chips/Tabl,150,175,175
1017,11493615,Bentonite Chips/Tabl,40,55,55
1018,11303613,Bentonite Chips/Tabl,13,15,15
1019,11468290,Bentonite Chips/Tabl,15,17,17
1020,11677917,Bentonite Chips/Tabl,60,72,72
1021,11473628,Bentonite Chips/Tabl,26,180,180
1022,11602010,Bentonite Chips/Tabl,8,17.5,17.5
1023,11480982,Bentonite Chips/Tabl,80,160,160
1024,11578994,Bentonite Chips/Tabl,144,152,152
1025,11601975,Bentonite Chips/Tabl,10,27.5,27.5
1026,11663248,Bentonite Chips/Tabl,10,30,30
1027,11608045,Bentonite Chips/Tabl,28,30,30
1028,11608073,Bentonite Chips/Tabl,20,25,25
1029,11578914,Bentonite Chips/Tabl,55,70,70
1031,11534595,Bentonite Chips/Tabl,12,17,17
1032,11553944,Bentonite Chips/Tabl,20,253,253
1033,11468331,Bentonite Chips/Tabl,14,15,15
1034,11468402,Bentonite Chips/Tabl,15,18,18
1035,11468431,Bentonite Chips/Tabl,22,24,24
1036,11468465,Bentonite Chips/Tabl,15,18,18
1037,11468697,Bentonite Chips/Tabl,19,23,23
1038,11468762,Bentonite Chips/Tabl,19,23,23
1039,11468800,Bentonite Chips/Tabl,13,15,15
1040,11468926,Bentonite Chips/Tabl,19,24,24
1041,11554519,Bentonite Chips/Tabl,20,185,185
1042,11496307,Bentonite Chips/Tabl,80,190,190
1043,11496643,Bentonite Chips/Tabl,90,95,95
1044,11498132,Bentonite Chips/Tabl,40,60,60
1045,11362832,Bentonite Chips/Tabl,17,21,21
1046,11363014,Bentonite Chips/Tabl,21,23,23
1047,11303716,Bentonite Chips/Tabl,14,16,16
1048,11468252,Bentonite Chips/Tabl,15,17,17
1049,11362993,Bentonite Chips/Tabl,18,22,22
1050,11427982,Bentonite Chips/Tabl,270,280,280
1051,11520668,Bentonite Chips/Tabl,20,80,80
1052,11520812,Bentonite Chips/Tabl,20,243,243
1053,11498367,Bentonite Chips/Tabl,45,50,50
1054,11496869,Bentonite Chips/Tabl,45,50,50
1055,11254991,Bentonite Chips/Tabl,13,15,15
1056,11262147,Bentonite Chips/Tabl,14,15,15
1057,11241096,Bentonite Chips/Tabl,13,15,15
1058,11261430,Bentonite Chips/Tabl,17,20,20
