EXCEEDANCE_ID,WELL_TEST_ID,EXCEEDANCE_REQUIRED,NOTIFICATION_DATE,NOTIFICATION_METHOD,CREATE_TIMESTAMP,CREATE_USERID
101926,11311,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101928,11944,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101930,9067,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101932,11312,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101934,7441,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101936,12642,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101938,8251,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101940,8846,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101942,4813,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101944,9414,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
101946,10507,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
101948,11945,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101950,7279,Yes,2009-01-23T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101952,6630,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101954,8545,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101956,6631,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101958,4814,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101960,8346,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101962,8347,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101964,8252,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101966,11583,Yes,null,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101968,8253,Yes,2009-01-09T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101970,10199,Yes,2009-01-23T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101972,5398,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101974,9529,Yes,2009-01-26T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101976,8847,Yes,2009-01-16T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101978,9780,Yes,2009-01-14T00:00:00.000Z,A combination of the above,2011-10-20T10:38:47.710Z,CONVERSION
101980,5370,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101982,5371,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101984,8254,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101986,9068,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101988,10032,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101990,9069,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101992,11584,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101994,8203,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101996,8204,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
101998,7442,Yes,2009-02-05T00:00:00.000Z,Fax,2011-10-20T10:38:47.710Z,CONVERSION
102000,8348,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102002,12708,Yes,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102004,10146,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102006,11585,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102008,10147,Yes,2009-03-09T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102010,8349,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102012,7443,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102014,12643,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102016,8546,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102018,8848,Yes,2009-03-02T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102020,5372,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102022,8849,No,null,null,2011-10-20T10:38:47.710Z,CONVERSION
102028,12709,Yes,2009-03-14T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102030,8205,Yes,2009-02-12T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102032,8206,Yes,2009-03-14T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102034,5399,Yes,2009-02-12T00:00:00.000Z,Phone,2011-10-20T10:38:47.710Z,CONVERSION
102036,11946,Yes,2009-03-14T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
102038,10200,Yes,2009-03-01T00:00:00.000Z,Letter,2011-10-20T10:38:47.710Z,CONVERSION
