WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179333,888,160-200,Household & Agricultural,61,null,ft,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179335,687,null,Household,22.3,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179337,293,null,Household,36.29,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179339,1719,null,Household & Agricultural,43.1,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179341,1813,100-110,Household,117,null,ft,feet,null,2011-10-20T10:38:47.710Z,CONVERSION
1179343,1720,null,Household & Agricultural,24.76,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179345,2246,75-135,Household & Stock,135,null,ft,feet,null,2011-10-20T10:38:47.710Z,CONVERSION
1179347,193,null,Household,29.11,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179349,537,195-213,Household & Agricultural,220,null,ft,feet,null,2011-10-20T10:38:47.710Z,CONVERSION
1179351,2247,null,Household & Agricultural,28.4,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179353,1191,null,Domestic,43,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179355,1814,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179357,1528,null,Domestic,76.2,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179359,4203,null,Stock,69,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179361,2298,null,Stock,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179363,34,null,Domestic,52,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179365,1084,42.6 - 54.8m,Domestic,54.8,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179367,490,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179369,688,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179371,4204,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179373,1529,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179375,242,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179377,637,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179379,1815,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179381,243,36.58-42.67,Domestic,42.67,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179383,2299,51.82 - 58.83 m,Domestic,64.01,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179385,2218,29.87 - 35.66,Domestic,39.62,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179387,764,46.02 to 53.34 m,Domestic,60.05,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179389,115,24.38 to 30.48 m,Domestic,30.48,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179391,12,35.97 to 62.06 m,Domestic,42.06,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179393,856,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179395,162,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179397,2271,24.38 - 63.09,Domestic,64.02,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179399,320,39.62 to 45.11 m,Domestic,46.94,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179401,264,null,Domestic,null,null,null,null,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179403,2272,38.71 to 40.23 m,Domestic,40.23,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179405,411,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179407,765,13.41 - 22.56 m,Domestic,22.86,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179409,2381,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179411,713,7.62 - 24.0792 m,Domestic,24.38,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179413,999,53.34 to 62.48,Agricultural,62.48,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179415,556,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179417,805,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179419,369,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179421,2382,null,Domestic,56.69,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179423,557,null,Domestic,52,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179425,2273,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179427,558,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179429,370,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179431,652,11.28 - 14.63 m,Domestic,18.29,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179433,653,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179435,13,46.63 to 47.24 m,Domestic,47.24,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179437,69,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179439,412,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179441,654,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179443,506,61.264 - 67.3608 m,Domestic,67.36,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179445,559,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
